Photo file name,Brand,Fragrance,Type,Size,For,Price (GHS),Qty in Stock
tiziana-terenzi-kirke.jpg,Tiziana Terenzi,Kirke,Extrait de Parfum,100 ml,Women,1180,
lattafa-badee-al-oud-oud-for-glory.jpg,Lattafa,Badee Al Oud - Oud For Glory,EDP,100 ml,Unisex,380,
lattafa-his-confession.jpg,Lattafa,His Confession,Parfum,100 ml,Men,420,
jimmy-choo-i-want-choo-forever.png,Jimmy Choo,I Want Choo Forever,EDP,100 ml,Women,980,
penhaligon-s-the-omniscient-mr-thompson.jpg,Penhaligon's,The Omniscient Mr Thompson,EDP,75 ml,Men,1680,
penhaligon-s-the-coveted-duchess-rose.jpg,Penhaligon's,The Coveted Duchess Rose,EDP,75 ml,Women,1680,
le-labo-myrrhe-55.jpg,Le Labo,Myrrhe 55,EDP,100 ml,Unisex,880,
frederic-malle-portrait-of-a-lady.jpg,Frederic Malle,Portrait of a Lady,EDP,50 ml,Women,2330,
frederic-malle-une-rose.jpg,Frederic Malle,Une Rose,EDP,50 ml,Women,2330,
frederic-malle-rose-cuir.jpg,Frederic Malle,Rose & Cuir,EDP,50 ml,Unisex,2330,
armaf-club-de-nuit-women.jpg,Armaf,Club de Nuit Women,EDP,105 ml,Women,410,
armaf-club-de-nuit-intense-man.jpg,Armaf,Club de Nuit Intense Man,EDT,105 ml,Men,410,
al-haramain-amber-oud-aqua-dubai.png,Al Haramain,Amber Oud Aqua Dubai,Extrait de Parfum,100 ml,Unisex,760,
al-haramain-amber-oud-ruby-edition.jpg,Al Haramain,Amber Oud Ruby Edition,Extrait de Parfum,100 ml,Unisex,760,
al-haramain-amber-oud-gold-edition.jpg,Al Haramain,Amber Oud Gold Edition,Extrait de Parfum,100 ml,Unisex,760,
al-haramain-amber-oud-bleu-edition.png,Al Haramain,Amber Oud Bleu Edition,Extrait de Parfum,100 ml,Unisex,760,
jean-paul-gaultier-le-male-elixir-absolu.png,Jean Paul Gaultier,Le Male Elixir Absolu,Parfum Intense,125 ml,Men,870,
amouage-purpose-50.png,Amouage,Purpose 50,EDP,100 ml,Men,1630,
amouage-interlude-53-man.png,Amouage,Interlude 53 Man,EDP,100 ml,Men,1630,
amouage-search.jpg,Amouage,Search,EDP,100 ml,Unisex,1630,
maison-francis-kurkdjian-baccarat-rouge-540.png,Maison Francis Kurkdjian,Baccarat Rouge 540,Extrait de Parfum,200 ml,Unisex,2670,
paco-rabanne-1-million-elixir.jpg,Paco Rabanne,1 Million Elixir,Parfum Intense,100 ml,Men,1180,
louis-vuitton-imagination.jpg,Louis Vuitton,Imagination,EDP,100 ml,Men,1580,
louis-vuitton-ombre-nomade.png,Louis Vuitton,Ombre Nomade,EDP,100 ml,Unisex,1580,
louis-vuitton-ombre-nomade.png,Louis Vuitton,Ombre Nomade,EDP,200 ml,Unisex,2800,
givenchy-gentleman-society.png,Givenchy,Gentleman Society,EDP,100 ml,Men,1180,
byredo-blanche.png,Byredo,Blanche,EDP,100 ml,Women,1820,
byredo-rose-of-no-man-s-land.png,Byredo,Rose of No Man's Land,EDP,100 ml,Unisex,1880,
chanel-bleu-de-chanel-l-exclusif.jpg,Chanel,Bleu de Chanel L'Exclusif,Parfum,100 ml,Men,1280,
creed-himalaya.jpg,Creed,Himalaya,EDP,100 ml,Men,1480,
brand-not-on-box-intense-noir-le-parfum.png,(brand not on box),Intense Noir Le Parfum,EDP,100 ml,Unisex,480,
paris-corner-khair-fusion.jpg,Paris Corner,Khair Fusion,EDP,100 ml,Unisex,360,
